areacode,cat1,cat2,cat3,contentid,contenttypeid,mapx,mapy,readcount,title,addr1,code
38,A05,A0502,A05020100,2670429,39,127.7507785,34.71959551,0,진남횟집,전라남도 여수시 돌산읍 강남로 46,36020
38,A05,A0502,A05020400,2670430,39,126.3802053,34.80134101,0,짬뽕공장,전라남도 목포시 양을로 31-1,36010
38,A05,A0502,A05020100,2670431,39,127.4838035,34.98526109,0,참살이촌,전라남도 순천시 원가곡길 34,36030
38,A05,A0502,A05020100,2670432,39,126.43507,34.79785064,0,튼실이네전복,전라남도 목포시 평화로 97,36010
38,A05,A0502,A05020100,2670433,39,127.7023541,34.75228545,0,하누정,전라남도 여수시 여문문화길 51,36020
38,A05,A0502,A05020100,2670486,39,127.466058,34.97781439,0,어우림,전라남도 순천시 조비1길 7,36030
38,A05,A0502,A05020100,2670489,39,127.4841511,34.96966007,0,돈까스하우스,전라남도 순천시 중앙로 268,36030
38,A05,A0502,A05020100,2670490,39,126.4267788,34.80560796,0,한사랑한우명가,전라남도 목포시 신흥로69번길 17,36010
38,A05,A0502,A05020100,2670492,39,126.4194851,34.80472183,0,한소끔,전라남도 목포시 백년대로297번길 11,36010
38,A05,A0502,A05020100,2670494,39,127.5204869,34.9660361,0,큰집한우촌,전라남도 순천시 비봉길 73,36030
38,A05,A0502,A05020100,2670495,39,127.5175873,34.96021448,0,한우농가직판장,전라남도 순천시 조례신대앞길 24,36030
38,A05,A0502,A05020100,2670496,39,127.5214427,34.95127944,0,해동국밥,전라남도 순천시 연향상가1길 3,36030
38,A05,A0502,A05020100,2670497,39,127.4591708,34.93431083,0,형제간,전라남도 순천시 상사면 상사호길 282,36030
38,A05,A0502,A05020100,2670500,39,127.6643406,34.7602839,0,화르고,전라남도 여수시 시청동1길 5,36020
35,A01,A0101,A01010500,2670505,12,129.4710769,36.74026271,0,평해사구습지 생태공원,경상북도 울진군 평해읍 월송리 319-2,37420
1,A05,A0502,A05020100,2670512,39,127.0424721,37.51837766,0,으뜸청담맛집,서울특별시 강남구 선릉로132길 15,11230
6,A05,A0502,A05020100,2670515,39,129.0982556,35.13582581,0,청도치킨,부산광역시 남구 용소로8번길 42,21070
6,A05,A0502,A05020100,2670516,39,129.2269559,35.22259903,0,오양수산,부산광역시 기장군 기장읍 기장해안로 548-3,21310
6,A05,A0502,A05020100,2670517,39,129.1688652,35.16863177,0,장산왕족발,부산광역시 해운대구 좌동순환로8번길 45-5,21090
6,A05,A0502,A05020100,2670518,39,129.0857576,35.20216259,0,동래원조산곰장어,부산광역시 동래구 명륜로98번길 42,21060
6,A05,A0502,A05020100,2670528,39,129.1246695,35.15337711,0,광안리부산횟집,부산광역시 수영구 민락수변로 29,21140
1,A05,A0502,A05020100,2670532,39,126.9466081,37.53809031,0,도하정,서울특별시 마포구 마포대로4길 38,11140
31,A02,A0203,A02030500,2670558,12,127.0818498,37.78585281,0,나리농원,경기도 양주시 광사로 131-66,31260
6,A05,A0502,A05020300,2670566,39,129.081969,35.20475668,0,스시몬,부산광역시 동래구 삼성대길 40,21060
31,A05,A0502,A05020300,2670567,39,127.0444184,37.73925479,0,토리아에즈,경기도 의정부시 신흥로258번길 17,31030
